Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
23,3.90731127932667732239E-01,3.90731128489273715765E-01,1.42452425233681259846E-09,9.20504856854677200317E-01,9.20504853452440374717E-01,-3.69605530831897765613E-09,4.24474814906716346741E-01,4.24474816209604699502E-01,3.06941254488245361952E-09,3.90731127550062784515E-01,3.90731128489273715765E-01,2.40372691799964511153E-09,9.20504853851111470853E-01,9.20504853452440374717E-01,-4.33100482458531845949E-10,4.24474815005442873694E-01,4.24474816209604699502E-01,2.83682748616302243388E-09
24,4.06736647710204124451E-01,4.06736643075800152758E-01,-1.13941146621843674171E-08,9.13545463234186172485E-01,9.13545457642600866599E-01,-6.12075208303776180548E-09,4.45228688418865203857E-01,4.45228685308536098475E-01,-6.98591349637940502382E-09,4.06736642153134986266E-01,4.06736643075800152758E-01,2.26845842930312150753E-09,9.13545458053397818610E-01,9.13545457642600866599E-01,-4.49673246770540954465E-10,4.45228684098345928177E-01,4.45228685308536098475E-01,2.71813162590596098604E-09
25,4.22618264332413673401E-01,4.22618261740699441287E-01,-6.13251835442316771708E-09,9.06307790428400039673E-01,9.06307787036649936674E-01,-3.74238213591725825848E-09,4.66307658702135086060E-01,4.66307658154998583289E-01,-1.17333802449817515921E-09,4.22618260830351477608E-01,4.22618261740699441287E-01,2.15406679287572913093E-09,9.06307787461152369879E-01,9.06307787036649936674E-01,-4.68386611344269894881E-10,4.66307656932128500316E-01,4.66307658154998583289E-01,2.62245335581982525117E-09
26,4.38371146097779273987E-01,4.38371146789077403838E-01,1.57697001809712029092E-09,8.98794058710336685181E-01,8.98794046299167037617E-01,-1.38086914897430537431E-08,4.87732581794261932373E-01,4.87732588565861435725E-01,1.38838364821793065214E-08,4.38371145922884453139E-01,4.38371146789077403838E-01,1.97593513406118106845E-09,8.98794046721637873709E-01,8.98794046299167037617E-01,-4.70041872030422986703E-10,4.87732587372878667598E-01,4.87732588565861435725E-01,2.44597715243042971312E-09
27,4.53990504145622253418E-01,4.53990499739546748970E-01,-9.70521515483878967353E-09,8.91006536781787872314E-01,8.91006524188367898809E-01,-1.41339256893619515940E-08,5.09525448083877563477E-01,5.09525449494428794850E-01,2.76836265057608968875E-09,4.53990498877677839396E-01,4.53990499739546748970E-01,1.89842939459861549037E-09,8.91006524627512064285E-01,8.91006524188367898809E-01,-4.92863019017849687747E-10,5.09525448276004433446E-01,5.09525449494428794850E-01,2.39129245185568403667E-09
28,4.69471562653779983521E-01,4.69471562785890805802E-01,2.81403194303271658743E-10,8.82947601377964019775E-01,8.82947592858926988413E-01,-9.64840625795048060302E-09,5.31709425151348114014E-01,5.31709431661478770792E-01,1.22437749899044158661E-08,4.69471561940946080504E-01,4.69471562785890805802E-01,1.79977828749381562055E-09,8.82947593308191946981E-01,8.82947592858926988413E-01,-5.08824036898806011132E-10,5.31709430433973118113E-01,5.31709431661478770792E-01,2.30860236735548339896E-09
29,4.84809624031186103821E-01,4.84809620246337058536E-01,-7.80687694877494022976E-09,8.74619700014591217041E-01,8.74619707139395741180E-01,8.14617428663941176129E-09,5.54309058934450149536E-01,5.54309051452768986046E-01,-1.34973101618948477387E-08,4.84809619437260586050E-01,4.84809620246337058536E-01,1.66885399690380373552E-09,8.74619707587873995713E-01,8.74619707139395741180E-01,-5.12769436673389940498E-10,5.54309050243475320841E-01,5.54309051452768986046E-01,2.18162352217753778906E-09
30,5.00000003725290298462E-01,4.99999999999999944489E-01,-7.45058069637509308212E-09,8.66025410592555999756E-01,8.66025403784438707611E-01,-7.86133673969872347279E-09,5.77350270003080368042E-01,5.77350269189625731059E-01,-1.40894483557136800509E-09,4.99999999211673651356E-01,4.99999999999999944489E-01,1.57665258626593661336E-09,8.66025404239579077448E-01,8.66025403784438707611E-01,-5.25550830089124973876E-10,5.77350267975917930130E-01,5.77350269189625731059E-01,2.10220357675152510789E-09
31,5.15038073062896728516E-01,5.15038074910054155531E-01,3.58644834799078454602E-09,8.57167311012744903564E-01,8.57167300702112333610E-01,-1.20287283362741023814E-08,6.00860610604286193848E-01,6.00860619027560383110E-01,1.40186823845572238668E-08,5.15038074122924349751E-01,5.15038074910054155531E-01,1.52829440020874839475E-09,8.57167301175067564145E-01,8.57167300702112333610E-01,-5.51765367329715399723E-10,6.00860617777734362654E-01,6.00860619027560383110E-01,2.08005980235139229857E-09
32,5.29919262975454330444E-01,5.29919264233204900805E-01,2.37347592452691503921E-09,8.48048105835914611816E-01,8.48048096156425956771E-01,-1.14138439556671744053E-08,6.24869342893362045288E-01,6.24869351909327463979E-01,1.44285608244725308230E-08,5.29919263466790524397E-01,5.29919264233204900805E-01,1.44628517613236464909E-09,8.48048096635334869298E-01,8.48048096156425956771E-01,-5.64719046829202159100E-10,6.24869350652712540750E-01,6.24869351909327463979E-01,2.01100425135080981893E-09
