Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
338,9.851604e-01,-3.746066e-01,3.629853e+00,-1.716362e-01,9.271839e-01,1.185116e+00,-5.739817e+00,-4.040263e-01,-1.320654e+01
339,9.851604e-01,-3.583681e-01,3.749018e+00,-1.716362e-01,9.335804e-01,1.183847e+00,-5.739817e+00,-3.838642e-01,-1.395273e+01
340,9.851604e-01,-3.420204e-01,3.880415e+00,-1.716362e-01,9.396926e-01,1.182651e+00,-5.739817e+00,-3.639705e-01,-1.477001e+01
341,9.851604e-01,-3.255680e-01,4.025974e+00,-1.716362e-01,9.455186e-01,1.181526e+00,-5.739817e+00,-3.443274e-01,-1.566965e+01
342,9.851604e-01,-3.090169e-01,4.188047e+00,-1.716362e-01,9.510565e-01,1.180469e+00,-5.739817e+00,-3.249196e-01,-1.666534e+01
343,9.851604e-01,-2.923717e-01,4.369547e+00,-1.716362e-01,9.563047e-01,1.179479e+00,-5.739817e+00,-3.057307e-01,-1.777409e+01
344,9.851604e-01,-2.756375e-01,4.574116e+00,-1.716362e-01,9.612616e-01,1.178553e+00,-5.739817e+00,-2.867455e-01,-1.901711e+01
345,9.851604e-01,-2.588193e-01,4.806364e+00,-1.716362e-01,9.659258e-01,1.177691e+00,-5.739817e+00,-2.679495e-01,-2.042127e+01
346,9.851604e-01,-2.419218e-01,5.072227e+00,-1.716362e-01,9.702958e-01,1.176891e+00,-5.739817e+00,-2.493279e-01,-2.202116e+01
347,9.851604e-01,-2.249510e-01,5.379444e+00,-1.716362e-01,9.743701e-01,1.176151e+00,-5.739817e+00,-2.308682e-01,-2.386188e+01
348,9.851604e-01,-2.079118e-01,5.738358e+00,-1.716362e-01,9.781476e-01,1.175471e+00,-5.739817e+00,-2.125566e-01,-2.600371e+01
349,9.851604e-01,-1.908092e-01,6.163067e+00,-1.716362e-01,9.816272e-01,1.174849e+00,-5.739817e+00,-1.943805e-01,-2.852877e+01
350,9.851604e-01,-1.736484e-01,6.673304e+00,-1.716362e-01,9.848077e-01,1.174284e+00,-5.739817e+00,-1.763273e-01,-3.155207e+01
351,9.851604e-01,-1.564344e-01,7.297596e+00,-1.716362e-01,9.876884e-01,1.173776e+00,-5.739817e+00,-1.583843e-01,-3.523980e+01
352,9.851604e-01,-1.391731e-01,8.078670e+00,-1.716362e-01,9.902681e-01,1.173323e+00,-5.739817e+00,-1.405408e-01,-3.984092e+01
353,9.851604e-01,-1.218694e-01,9.083737e+00,-1.716362e-01,9.925461e-01,1.172925e+00,-5.739817e+00,-1.227847e-01,-4.574702e+01
354,9.851604e-01,-1.045287e-01,1.042479e+01,-1.716362e-01,9.945219e-01,1.172582e+00,-5.739817e+00,-1.051044e-01,-5.361061e+01
355,9.851604e-01,-8.715603e-02,1.230341e+01,-1.716362e-01,9.961947e-01,1.172292e+00,-5.739817e+00,-8.748895e-02,-6.460619e+01
356,9.851604e-01,-6.975638e-02,1.512287e+01,-1.716362e-01,9.975641e-01,1.172055e+00,-5.739817e+00,-6.992672e-02,-8.108331e+01
357,9.851604e-01,-5.233596e-02,1.982378e+01,-1.716362e-01,9.986295e-01,1.171872e+00,-5.739817e+00,-5.240779e-02,-1.085222e+02
358,9.851604e-01,-3.489960e-02,2.922842e+01,-1.716362e-01,9.993908e-01,1.171741e+00,-5.739817e+00,-3.492087e-02,-1.633663e+02
359,9.851604e-01,-1.745261e-02,5.744774e+01,-1.716362e-01,9.998477e-01,1.171662e+00,-5.739817e+00,-1.745527e-02,-3.278300e+02
360,9.851604e-01,1.748456e-07,-5.634460e+06,-1.716362e-01,1.000000e+00,1.171636e+00,-5.739817e+00,1.748456e-07,3.282793e+07
