Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
39,6.2932039052E-01,6.2932039105E-01,8.3797919127E-10,7.7714596316E-01,7.7714596146E-01,-2.1941989358E-09,8.0978403240E-01,8.0978403320E-01,9.7629028285E-10,6.2932038992E-01,6.2932039105E-01,1.7880662420E-09,7.7714596237E-01,7.7714596146E-01,-1.1725247510E-09,8.0978403080E-01,8.0978403320E-01,2.9605909092E-09
40,6.4278762415E-01,6.4278760969E-01,-2.2501951016E-08,7.6604443416E-01,7.6604444312E-01,1.1695122934E-08,8.3909966052E-01,8.3909963118E-01,-3.4964269060E-08,6.4278760861E-01,6.4278760969E-01,1.6758203455E-09,7.6604444402E-01,7.6604444312E-01,-1.1799259953E-09,8.3909962878E-01,8.3909963118E-01,2.8557462658E-09
41,6.5605903417E-01,6.5605902899E-01,-7.8929072344E-09,7.5470958650E-01,7.5470958022E-01,-8.3188945848E-09,8.6928673834E-01,8.6928673782E-01,-5.9803032833E-10,6.5605902793E-01,6.5605902899E-01,1.6112696053E-09,7.5470958114E-01,7.5470958022E-01,-1.2175711515E-09,8.6928673536E-01,8.6928673782E-01,2.8288408490E-09
42,6.6913060844E-01,6.6913060636E-01,-3.1093888932E-09,7.4314482138E-01,7.4314482548E-01,5.5194972023E-09,9.0040405095E-01,9.0040404430E-01,-7.3837914639E-09,6.6913060533E-01,6.6913060636E-01,1.5441661314E-09,7.4314482641E-01,7.4314482548E-01,-1.2518979325E-09,9.0040404178E-01,9.0040404430E-01,2.7960640301E-09
43,6.8199837208E-01,6.8199836006E-01,-1.7617994639E-08,7.3135370389E-01,7.3135370162E-01,-3.0998680682E-09,9.3251509964E-01,9.3251508614E-01,-1.4484483513E-08,6.8199835904E-01,6.8199836006E-01,1.4942120645E-09,7.3135370257E-01,7.3135370162E-01,-1.2993429822E-09,9.3251508353E-01,9.3251508614E-01,2.7935550091E-09
44,6.9465836510E-01,6.9465837046E-01,7.7136838741E-09,7.1933980659E-01,7.1933980034E-01,-8.6855374919E-09,9.6568875760E-01,9.6568877481E-01,1.7820103405E-08,6.9465836948E-01,6.9465837046E-01,1.4153938364E-09,7.1933980129E-01,7.1933980034E-01,-1.3199324418E-09,9.6568877217E-01,9.6568877481E-01,2.7353263260E-09
45,7.0710678771E-01,7.0710678119E-01,-9.2275093141E-09,7.0710678771E-01,7.0710678119E-01,-9.2275092529E-09,1.0000000000E+00,1.0000000000E+00,-6.1232339957E-17,7.0710678214E-01,7.0710678119E-01,-1.3503426322E-09,7.0710678023E-01,7.0710678119E-01,1.3503420041E-09,1.0000000027E+00,1.0000000000E+00,-2.7006846759E-09
46,7.1933980659E-01,7.1933980034E-01,-8.6855376582E-09,6.9465836510E-01,6.9465837046E-01,7.7136840525E-09,1.0355303288E+00,1.0355303138E+00,-1.4446743750E-08,7.1933980129E-01,7.1933980034E-01,-1.3199325961E-09,6.9465836948E-01,6.9465837046E-01,1.4153939962E-09,1.0355303166E+00,1.0355303138E+00,-2.7353265465E-09
47,7.3135370389E-01,7.3135370162E-01,-3.0998681253E-09,6.8199837208E-01,6.8199836006E-01,-1.7617994574E-08,1.0723686963E+00,1.0723687100E+00,1.2768653727E-08,7.3135370257E-01,7.3135370162E-01,-1.2993431340E-09,6.8199835904E-01,6.8199836006E-01,1.4942120645E-09,1.0723687130E+00,1.0723687100E+00,-2.7935552377E-09
48,7.4314482138E-01,7.4314482548E-01,5.5194971472E-09,6.6913060844E-01,6.6913060636E-01,-3.1093888252E-09,1.1106125042E+00,1.1106125148E+00,9.5847530162E-09,7.4314482641E-01,7.4314482548E-01,-1.2518980818E-09,6.6913060533E-01,6.6913060636E-01,1.5441661314E-09,1.1106125179E+00,1.1106125148E+00,-2.7960640804E-09
49,7.5470958650E-01,7.5470958022E-01,-8.3188947345E-09,6.5605903417E-01,6.5605902899E-01,-7.8929070362E-09,1.1503684074E+00,1.1503684072E+00,-1.2835064181E-10,7.5470958114E-01,7.5470958022E-01,-1.2175712986E-09,6.5605902793E-01,6.5605902899E-01,1.6112697746E-09,1.1503684105E+00,1.1503684072E+00,-2.8288412200E-09
50,7.6604443416E-01,7.6604444312E-01,1.1695122883E-08,6.4278762415E-01,6.4278760969E-01,-2.2501950943E-08,1.1917535514E+00,1.1917535926E+00,3.4596300070E-08,7.6604444402E-01,7.6604444312E-01,-1.1799259953E-09,6.4278760861E-01,6.4278760969E-01,1.6758205183E-09,1.1917535960E+00,1.1917535926E+00,-2.8557464148E-09
51,7.7714596316E-01,7.7714596146E-01,-2.1941990753E-09,6.2932039052E-01,6.2932039105E-01,8.3797940398E-10,1.2348971590E+00,1.2348971565E+00,-2.0284467215E-09,7.7714596237E-01,7.7714596146E-01,-1.1725248938E-09,6.2932038992E-01,6.2932039105E-01,1.7880664184E-09,1.2348971602E+00,1.2348971565E+00,-2.9605914202E-09
52,7.8801076114E-01,7.8801075361E-01,-9.5621221299E-09,6.1566147953E-01,6.1566147533E-01,-6.8333988208E-09,1.2799416333E+00,1.2799416322E+00,-8.9896110541E-10,7.8801075450E-01,7.8801075361E-01,-1.1278053732E-09,6.1566147419E-01,6.1566147533E-01,1.8476276986E-09,1.2799416360E+00,1.2799416322E+00,-2.9754331183E-09
