Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
131,9.851604e-01,7.547096e-01,-3.053502e-01,-1.716362e-01,-6.560590e-01,7.383830e-01,-5.739817e+00,-1.150369e+00,-3.989546e+00
132,9.851604e-01,7.431448e-01,-3.256640e-01,-1.716362e-01,-6.691307e-01,7.434937e-01,-5.739817e+00,-1.110612e+00,-4.168155e+00
133,9.851604e-01,7.313537e-01,-3.470368e-01,-1.716362e-01,-6.819983e-01,7.483334e-01,-5.739817e+00,-1.072369e+00,-4.352465e+00
134,9.851604e-01,7.193399e-01,-3.695338e-01,-1.716362e-01,-6.946583e-01,7.529199e-01,-5.739817e+00,-1.035531e+00,-4.542875e+00
135,9.851604e-01,7.071068e-01,-3.932272e-01,-1.716362e-01,-7.071068e-01,7.572697e-01,-5.739817e+00,-1.000000e+00,-4.739817e+00
136,9.851604e-01,6.946585e-01,-4.181938e-01,-1.716362e-01,-7.193397e-01,7.613976e-01,-5.739817e+00,-9.656889e-01,-4.943753e+00
137,9.851604e-01,6.819983e-01,-4.445202e-01,-1.716362e-01,-7.313538e-01,7.653171e-01,-5.739817e+00,-9.325150e-01,-5.155200e+00
138,9.851604e-01,6.691306e-01,-4.722990e-01,-1.716362e-01,-7.431448e-01,7.690407e-01,-5.739817e+00,-9.004042e-01,-5.374711e+00
139,9.851604e-01,6.560590e-01,-5.016338e-01,-1.716362e-01,-7.547097e-01,7.725798e-01,-5.739817e+00,-8.692866e-01,-5.602905e+00
140,9.851604e-01,6.427876e-01,-5.326374e-01,-1.716362e-01,-7.660444e-01,7.759448e-01,-5.739817e+00,-8.390996e-01,-5.840447e+00
141,9.851604e-01,6.293205e-01,-5.654350e-01,-1.716362e-01,-7.771459e-01,7.791454e-01,-5.739817e+00,-8.097842e-01,-6.088082e+00
142,9.851604e-01,6.156614e-01,-6.001657e-01,-1.716362e-01,-7.880108e-01,7.821905e-01,-5.739817e+00,-7.812856e-01,-6.346631e+00
143,9.851604e-01,6.018151e-01,-6.369818e-01,-1.716362e-01,-7.986355e-01,7.850882e-01,-5.739817e+00,-7.535542e-01,-6.616993e+00
144,9.851604e-01,5.877852e-01,-6.760551e-01,-1.716362e-01,-8.090171e-01,7.878460e-01,-5.739817e+00,-7.265424e-01,-6.900181e+00
145,9.851604e-01,5.735765e-01,-7.175746e-01,-1.716362e-01,-8.191521e-01,7.904709e-01,-5.739817e+00,-7.002076e-01,-7.197307e+00
146,9.851604e-01,5.591930e-01,-7.617537e-01,-1.716362e-01,-8.290375e-01,7.929693e-01,-5.739817e+00,-6.745087e-01,-7.509626e+00
147,9.851604e-01,5.446391e-01,-8.088316e-01,-1.716362e-01,-8.386706e-01,7.953473e-01,-5.739817e+00,-6.494076e-01,-7.838543e+00
