Angle, Posit-sin, Mathlib-sin, Error, Posit-cos, Mathlib-cos, Error, Posit-tan, Mathlib-tan, Error 
5.600000e-02,9.773893e-04,9.773842e-04,-5.240799e-06,9.999995e-01,9.999995e-01,-1.117588e-08,9.773898e-04,9.773847e-04,-5.240796e-06
5.700000e-02,9.948414e-04,9.948375e-04,-3.920151e-06,9.999995e-01,9.999995e-01,-7.450584e-09,9.948419e-04,9.948380e-04,-3.920149e-06
5.800000e-02,1.012293e-03,1.012291e-03,-2.558791e-06,9.999995e-01,9.999995e-01,-1.117588e-08,1.012294e-03,1.012291e-03,-2.558790e-06
5.900000e-02,1.029745e-03,1.029744e-03,-1.328369e-06,9.999995e-01,9.999995e-01,-1.117588e-08,1.029746e-03,1.029745e-03,-1.300105e-06
6.000000e-02,1.047197e-03,1.047197e-03,-8.337635e-08,9.999995e-01,9.999995e-01,-7.450584e-09,1.047198e-03,1.047198e-03,-5.558420e-08
6.100000e-02,1.064649e-03,1.064651e-03,1.120797e-06,9.999994e-01,9.999994e-01,-7.450584e-09,1.064650e-03,1.064651e-03,1.148133e-06
6.200000e-02,1.082101e-03,1.082104e-03,2.232335e-06,9.999994e-01,9.999994e-01,-1.117588e-08,1.082102e-03,1.082105e-03,2.259229e-06
6.300000e-02,1.099562e-03,1.099557e-03,-4.182052e-06,9.999994e-01,9.999994e-01,-1.490117e-08,1.099562e-03,1.099558e-03,-4.155580e-06
6.400000e-02,1.117014e-03,1.117010e-03,-2.970282e-06,9.999994e-01,9.999994e-01,-7.450584e-09,1.117015e-03,1.117011e-03,-2.970281e-06
6.500000e-02,1.134466e-03,1.134464e-03,-1.795798e-06,9.999994e-01,9.999994e-01,-1.490117e-08,1.134467e-03,1.134464e-03,-1.795797e-06
6.600000e-02,1.151918e-03,1.151917e-03,-7.074357e-07,9.999993e-01,9.999993e-01,-1.117588e-08,1.151919e-03,1.151918e-03,-7.074352e-07
6.700000e-02,1.169370e-03,1.169370e-03,3.982154e-07,9.999993e-01,9.999993e-01,-1.117588e-08,1.169371e-03,1.169371e-03,4.231036e-07
6.800000e-02,1.186822e-03,1.186824e-03,1.446825e-06,9.999993e-01,9.999993e-01,-1.117588e-08,1.186823e-03,1.186824e-03,1.446824e-06
6.900000e-02,1.204274e-03,1.204277e-03,2.489207e-06,9.999993e-01,9.999993e-01,-1.117588e-08,1.204275e-03,1.204278e-03,2.489205e-06
7.000000e-02,1.221734e-03,1.221730e-03,-3.358876e-06,9.999993e-01,9.999993e-01,-1.490118e-08,1.221735e-03,1.221731e-03,-3.358874e-06
7.100000e-02,1.239186e-03,1.239183e-03,-2.231198e-06,9.999992e-01,9.999992e-01,-1.117588e-08,1.239187e-03,1.239184e-03,-2.207710e-06
7.200000e-02,1.256638e-03,1.256637e-03,-1.227485e-06,9.999992e-01,9.999992e-01,-1.117588e-08,1.256639e-03,1.256638e-03,-1.227484e-06
7.300000e-02,1.274090e-03,1.274090e-03,-2.055855e-07,9.999992e-01,9.999992e-01,-1.862647e-08,1.274091e-03,1.274091e-03,-1.827426e-07
7.400000e-02,1.291542e-03,1.291543e-03,7.436270e-07,9.999992e-01,9.999992e-01,-1.117588e-08,1.291543e-03,1.291544e-03,7.436264e-07
7.500000e-02,1.308994e-03,1.308997e-03,1.756462e-06,9.999992e-01,9.999991e-01,-1.490118e-08,1.308995e-03,1.308998e-03,1.778694e-06
7.600000e-02,1.326455e-03,1.326450e-03,-3.620289e-06,9.999991e-01,9.999991e-01,-1.490118e-08,1.326456e-03,1.326451e-03,-3.598345e-06
7.700000e-02,1.343907e-03,1.343903e-03,-2.620400e-06,9.999991e-01,9.999991e-01,-1.490118e-08,1.343908e-03,1.343904e-03,-2.598741e-06
7.800000e-02,1.361359e-03,1.361356e-03,-1.646149e-06,9.999991e-01,9.999991e-01,-1.490118e-08,1.361360e-03,1.361358e-03,-1.624769e-06
7.900000e-02,1.378811e-03,1.378810e-03,-6.965620e-07,9.999991e-01,9.999990e-01,-1.490118e-08,1.378812e-03,1.378811e-03,-6.754534e-07
8.000000e-02,1.396263e-03,1.396263e-03,1.667527e-07,9.999990e-01,9.999990e-01,-1.862647e-08,1.396264e-03,1.396264e-03,1.875966e-07
8.100000e-02,1.413715e-03,1.413716e-03,1.070511e-06,9.999990e-01,9.999990e-01,-1.117588e-08,1.413716e-03,1.413718e-03,1.091097e-06
8.200000e-02,1.431167e-03,1.431169e-03,1.931891e-06,9.999990e-01,9.999990e-01,-1.862647e-08,1.431168e-03,1.431171e-03,1.952225e-06
8.300000e-02,1.448627e-03,1.448623e-03,-2.913150e-06,9.999990e-01,9.999990e-01,-1.490118e-08,1.448628e-03,1.448624e-03,-2.913147e-06
8.400000e-02,1.466079e-03,1.466076e-03,-2.044706e-06,9.999989e-01,9.999989e-01,-1.862647e-08,1.466081e-03,1.466078e-03,-2.024852e-06
8.500000e-02,1.483531e-03,1.483529e-03,-1.157460e-06,9.999989e-01,9.999989e-01,-1.490118e-08,1.483533e-03,1.483531e-03,-1.137841e-06
8.600000e-02,1.500983e-03,1.500983e-03,-3.296275e-07,9.999989e-01,9.999989e-01,-1.117589e-08,1.500985e-03,1.500984e-03,-3.102373e-07
8.700000e-02,1.518435e-03,1.518436e-03,5.558425e-07,9.999989e-01,9.999988e-01,-1.490118e-08,1.518437e-03,1.518438e-03,5.750087e-07
8.800000e-02,1.535887e-03,1.535889e-03,1.345391e-06,9.999988e-01,9.999988e-01,-1.490118e-08,1.535889e-03,1.535891e-03,1.345390e-06
8.900000e-02,1.553347e-03,1.553342e-03,-3.222637e-06,9.999988e-01,9.999988e-01,-1.490118e-08,1.553349e-03,1.553344e-03,-3.203897e-06
9.000000e-02,1.570799e-03,1.570796e-03,-2.371595e-06,9.999988e-01,9.999988e-01,-1.862647e-08,1.570801e-03,1.570798e-03,-2.353064e-06
9.100000e-02,1.588251e-03,1.588249e-03,-1.575905e-06,9.999988e-01,9.999987e-01,-2.607707e-08,1.588253e-03,1.588251e-03,-1.539254e-06
9.200000e-02,1.605703e-03,1.605702e-03,-7.612625e-07,9.999987e-01,9.999987e-01,-1.862647e-08,1.605705e-03,1.605704e-03,-7.431363e-07
9.300000e-02,1.623155e-03,1.623155e-03,0.000000e+00,9.999987e-01,9.999987e-01,-1.862647e-08,1.623158e-03,1.623158e-03,0.000000e+00
9.400000e-02,1.640607e-03,1.640609e-03,7.982844e-07,9.999987e-01,9.999987e-01,-1.490118e-08,1.640610e-03,1.640611e-03,8.160230e-07
9.500000e-02,1.658059e-03,1.658062e-03,1.527104e-06,9.999986e-01,9.999986e-01,-1.490118e-08,1.658062e-03,1.658064e-03,1.544655e-06
9.600000e-02,1.675520e-03,1.675515e-03,-2.657622e-06,9.999986e-01,9.999986e-01,-1.117589e-08,1.675522e-03,1.675518e-03,-2.640248e-06
9.700000e-02,1.692972e-03,1.692969e-03,-1.873820e-06,9.999986e-01,9.999986e-01,-1.117589e-08,1.692974e-03,1.692971e-03,-1.873817e-06
9.800000e-02,1.710424e-03,1.710422e-03,-1.123029e-06,9.999986e-01,9.999985e-01,-1.862648e-08,1.710426e-03,1.710424e-03,-1.106011e-06
9.900000e-02,1.727876e-03,1.727875e-03,-3.705617e-07,9.999985e-01,9.999985e-01,-1.490118e-08,1.727878e-03,1.727878e-03,-3.537174e-07
1.000000e-01,1.745328e-03,1.745328e-03,3.335055e-07,9.999985e-01,9.999985e-01,-7.450591e-09,1.745330e-03,1.745331e-03,3.335050e-07
1.010000e-01,1.762780e-03,1.762782e-03,1.073161e-06,9.999985e-01,9.999984e-01,-1.490118e-08,1.762782e-03,1.762784e-03,1.089670e-06
1.020000e-01,1.780240e-03,1.780235e-03,-2.926347e-06,9.999984e-01,9.999984e-01,-7.450591e-09,1.780243e-03,1.780238e-03,-2.909994e-06
1.030000e-01,1.797692e-03,1.797688e-03,-2.201784e-06,9.999984e-01,9.999984e-01,-1.490118e-08,1.797695e-03,1.797691e-03,-2.185591e-06
1.040000e-01,1.815144e-03,1.815141e-03,-1.475121e-06,9.999984e-01,9.999984e-01,-1.490118e-08,1.815147e-03,1.815144e-03,-1.459084e-06
1.050000e-01,1.832596e-03,1.832595e-03,-7.622983e-07,9.999983e-01,9.999983e-01,-1.117589e-08,1.832599e-03,1.832598e-03,-7.622971e-07
1.060000e-01,1.850048e-03,1.850048e-03,-7.865697e-08,9.999983e-01,9.999983e-01,-1.490119e-08,1.850051e-03,1.850051e-03,-6.292547e-08
1.070000e-01,1.867500e-03,1.867501e-03,6.077904e-07,9.999983e-01,9.999983e-01,-1.117589e-08,1.867503e-03,1.867504e-03,6.233737e-07
1.080000e-01,1.884952e-03,1.884954e-03,1.266086e-06,9.999982e-01,9.999982e-01,-1.490119e-08,1.884955e-03,1.884958e-03,1.281524e-06
1.090000e-01,1.902412e-03,1.902408e-03,-2.447747e-06,9.999982e-01,9.999982e-01,-1.117589e-08,1.902416e-03,1.902411e-03,-2.447743e-06
1.100000e-01,1.919864e-03,1.919861e-03,-1.773643e-06,9.999982e-01,9.999982e-01,-1.862649e-08,1.919868e-03,1.919865e-03,-1.743321e-06
1.110000e-01,1.937316e-03,1.937314e-03,-1.111685e-06,9.999981e-01,9.999981e-01,-1.490119e-08,1.937320e-03,1.937318e-03,-1.111683e-06
1.120000e-01,1.954768e-03,1.954768e-03,-4.168819e-07,9.999981e-01,9.999981e-01,-1.490119e-08,1.954772e-03,1.954771e-03,-4.168812e-07
1.130000e-01,1.972220e-03,1.972221e-03,2.065964e-07,9.999981e-01,9.999981e-01,-1.117589e-08,1.972224e-03,1.972225e-03,2.065960e-07
1.140000e-01,1.989672e-03,1.989674e-03,7.898816e-07,9.999980e-01,9.999980e-01,-1.490119e-08,1.989676e-03,1.989678e-03,8.191348e-07
1.150000e-01,2.007124e-03,2.007127e-03,1.450024e-06,9.999980e-01,9.999980e-01,-1.490119e-08,2.007128e-03,2.007131e-03,1.479022e-06
1.160000e-01,2.024585e-03,2.024581e-03,-2.041284e-06,9.999980e-01,9.999980e-01,-1.862649e-08,2.024589e-03,2.024585e-03,-2.041280e-06
1.170000e-01,2.042037e-03,2.042034e-03,-1.453742e-06,9.999979e-01,9.999979e-01,-1.490119e-08,2.042041e-03,2.042038e-03,-1.425234e-06
1.180000e-01,2.059489e-03,2.059487e-03,-7.348427e-07,9.999979e-01,9.999979e-01,-1.862649e-08,2.059493e-03,2.059491e-03,-7.065781e-07
1.190000e-01,2.076941e-03,2.076940e-03,-1.401284e-07,9.999979e-01,9.999978e-01,-1.862649e-08,2.076945e-03,2.076945e-03,-1.121025e-07
1.200000e-01,2.094393e-03,2.094394e-03,4.168820e-07,9.999978e-01,9.999978e-01,-1.490120e-08,2.094397e-03,2.094398e-03,4.446731e-07
1.210000e-01,2.111845e-03,2.111847e-03,9.922480e-07,9.999978e-01,9.999978e-01,-2.235179e-08,2.111849e-03,2.111852e-03,1.019808e-06
1.220000e-01,2.129305e-03,2.129300e-03,-2.268931e-06,9.999977e-01,9.999977e-01,-1.490120e-08,2.129310e-03,2.129305e-03,-2.268926e-06
1.230000e-01,2.146757e-03,2.146753e-03,-1.708199e-06,9.999977e-01,9.999977e-01,-2.235179e-08,2.146762e-03,2.146758e-03,-1.681081e-06
1.240000e-01,2.164209e-03,2.164207e-03,-1.075824e-06,9.999977e-01,9.999977e-01,-1.117590e-08,2.164214e-03,2.164212e-03,-1.075822e-06
1.250000e-01,2.181661e-03,2.181660e-03,-4.802481e-07,9.999976e-01,9.999976e-01,-3.725299e-09,2.181666e-03,2.181665e-03,-4.802470e-07
1.260000e-01,2.199113e-03,2.199113e-03,7.940609e-08,9.999976e-01,9.999976e-01,-1.117590e-08,2.199118e-03,2.199118e-03,7.940591e-08
1.270000e-01,2.216565e-03,2.216566e-03,6.565072e-07,9.999976e-01,9.999975e-01,-7.450598e-09,2.216570e-03,2.216572e-03,6.827657e-07
1.280000e-01,2.234017e-03,2.234020e-03,1.198536e-06,9.999975e-01,9.999975e-01,-1.117590e-08,2.234022e-03,2.234025e-03,1.224588e-06
1.290000e-01,2.251477e-03,2.251473e-03,-1.964839e-06,9.999975e-01,9.999975e-01,-1.117590e-08,2.251483e-03,2.251479e-03,-1.964834e-06
1.300000e-01,2.268929e-03,2.268926e-03,-1.359677e-06,9.999974e-01,9.999974e-01,-1.490120e-08,2.268935e-03,2.268932e-03,-1.359673e-06
1.310000e-01,2.286381e-03,2.286379e-03,-7.892118e-07,9.999974e-01,9.999974e-01,-1.490120e-08,2.286387e-03,2.286385e-03,-7.637514e-07
1.320000e-01,2.303833e-03,2.303833e-03,-2.021246e-07,9.999974e-01,9.999973e-01,-7.450602e-09,2.303839e-03,2.303839e-03,-2.021241e-07
1.330000e-01,2.321285e-03,2.321286e-03,3.009073e-07,9.999973e-01,9.999973e-01,-1.117590e-08,2.321291e-03,2.321292e-03,3.259821e-07
1.340000e-01,2.338737e-03,2.338739e-03,8.710969e-07,9.999973e-01,9.999973e-01,-1.117590e-08,2.338743e-03,2.338745e-03,8.959828e-07
1.350000e-01,2.356197e-03,2.356192e-03,-2.198667e-06,9.999972e-01,9.999972e-01,-1.490120e-08,2.356204e-03,2.356199e-03,-2.173957e-06
1.360000e-01,2.373649e-03,2.373646e-03,-1.569438e-06,9.999972e-01,9.999972e-01,-1.117590e-08,2.373656e-03,2.373652e-03,-1.544911e-06
1.370000e-01,2.391101e-03,2.391099e-03,-1.071113e-06,9.999972e-01,9.999971e-01,-1.490120e-08,2.391108e-03,2.391106e-03,-1.046767e-06
1.380000e-01,2.408553e-03,2.408552e-03,-5.316757e-07,9.999971e-01,9.999971e-01,-1.117590e-08,2.408560e-03,2.408559e-03,-5.316741e-07
1.390000e-01,2.426005e-03,2.426005e-03,0.000000e+00,9.999971e-01,9.999971e-01,-7.450602e-09,2.426012e-03,2.426012e-03,2.399315e-08
1.400000e-01,2.443457e-03,2.443459e-03,4.764367e-07,9.999970e-01,9.999970e-01,-1.490120e-08,2.443465e-03,2.443466e-03,5.002570e-07
1.410000e-01,2.460909e-03,2.460912e-03,1.064380e-06,9.999970e-01,9.999970e-01,-1.490120e-08,2.460917e-03,2.460919e-03,1.088029e-06
1.420000e-01,2.478370e-03,2.478365e-03,-1.855419e-06,9.999969e-01,9.999969e-01,-1.117591e-08,2.478377e-03,2.478373e-03,-1.831927e-06
1.430000e-01,2.495821e-03,2.495818e-03,-1.259392e-06,9.999969e-01,9.999969e-01,-1.117591e-08,2.495829e-03,2.495826e-03,-1.259388e-06
1.440000e-01,2.513273e-03,2.513271e-03,-7.874439e-07,9.999969e-01,9.999968e-01,-1.862651e-08,2.513281e-03,2.513279e-03,-7.874415e-07
1.450000e-01,2.530725e-03,2.530725e-03,-3.220055e-07,9.999968e-01,9.999968e-01,-1.490121e-08,2.530734e-03,2.530733e-03,-3.220044e-07
1.460000e-01,2.548177e-03,2.548178e-03,2.055857e-07,9.999968e-01,9.999968e-01,-1.490121e-08,2.548186e-03,2.548186e-03,2.055850e-07
1.470000e-01,2.565629e-03,2.565631e-03,7.033113e-07,9.999967e-01,9.999967e-01,-1.862652e-08,2.565638e-03,2.565640e-03,7.259964e-07
1.480000e-01,2.583081e-03,2.583084e-03,1.194311e-06,9.999967e-01,9.999967e-01,-1.862652e-08,2.583090e-03,2.583093e-03,1.216841e-06
1.490000e-01,2.600542e-03,2.600538e-03,-1.544422e-06,9.999966e-01,9.999966e-01,-1.862652e-08,2.600550e-03,2.600546e-03,-1.522034e-06
1.500000e-01,2.617994e-03,2.617991e-03,-1.022751e-06,9.999966e-01,9.999966e-01,-1.117591e-08,2.618003e-03,2.618000e-03,-1.022747e-06
1.510000e-01,2.635446e-03,2.635444e-03,-5.742482e-07,9.999965e-01,9.999965e-01,-1.862652e-08,2.635455e-03,2.635453e-03,-5.521599e-07
1.520000e-01,2.652898e-03,2.652897e-03,-8.776466e-08,9.999965e-01,9.999965e-01,-1.117591e-08,2.652907e-03,2.652907e-03,-8.776436e-08
