Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
64,8.987941e-01,8.987941e-01,-6.631624e-08,4.383711e-01,4.383712e-01,2.039527e-07,2.050304e+00,2.050304e+00,-3.488536e-07
65,9.063079e-01,9.063078e-01,-6.576645e-08,4.226182e-01,4.226182e-01,1.410366e-07,2.144508e+00,2.144507e+00,-3.335292e-07
66,9.135454e-01,9.135455e-01,6.524540e-08,4.067368e-01,4.067366e-01,-3.663590e-07,2.246036e+00,2.246037e+00,4.246031e-07
67,9.205049e-01,9.205049e-01,-6.475212e-08,3.907309e-01,3.907311e-01,4.576394e-07,2.355854e+00,2.355853e+00,-6.072160e-07
68,9.271840e-01,9.271839e-01,-1.928570e-07,3.746064e-01,3.746066e-01,5.568942e-07,2.475088e+00,2.475086e+00,-7.706190e-07
69,9.335803e-01,9.335804e-01,6.384522e-08,3.583678e-01,3.583680e-01,4.158062e-07,2.605090e+00,2.605089e+00,-2.745610e-07
70,9.396926e-01,9.396926e-01,0.000000e+00,3.420201e-01,3.420202e-01,8.713616e-08,2.747478e+00,2.747477e+00,-8.677727e-08
71,9.455185e-01,9.455186e-01,6.303911e-08,3.255683e-01,3.255681e-01,-3.661577e-07,2.904210e+00,2.904211e+00,4.925646e-07
72,9.510565e-01,9.510565e-01,6.267203e-08,3.090171e-01,3.090170e-01,-4.822117e-07,3.077682e+00,3.077684e+00,5.422682e-07
73,9.563048e-01,9.563048e-01,-6.232808e-08,2.923716e-01,2.923717e-01,2.038660e-07,3.270854e+00,3.270853e+00,-2.186756e-07
74,9.612617e-01,9.612617e-01,-6.200668e-08,2.756373e-01,2.756374e-01,4.324859e-07,3.487416e+00,3.487414e+00,-5.469235e-07
75,9.659259e-01,9.659258e-01,-6.170727e-08,2.588191e-01,2.588191e-01,0.000000e+00,3.732051e+00,3.732050e+00,-6.388407e-08
76,9.702958e-01,9.702957e-01,-6.142936e-08,2.419220e-01,2.419219e-01,-3.079746e-07,4.010780e+00,4.010781e+00,2.377777e-07
77,9.743701e-01,9.743701e-01,0.000000e+00,2.249509e-01,2.249510e-01,7.949016e-07,4.331480e+00,4.331476e+00,-7.706057e-07
78,9.781477e-01,9.781476e-01,-1.218725e-07,2.079115e-01,2.079117e-01,7.167064e-07,4.704635e+00,4.704631e+00,-9.121937e-07
79,9.816272e-01,9.816272e-01,0.000000e+00,1.908089e-01,1.908089e-01,1.561893e-07,5.144557e+00,5.144556e+00,-1.853755e-07
80,9.848078e-01,9.848077e-01,-1.210483e-07,1.736483e-01,1.736482e-01,-1.716247e-07,5.671280e+00,5.671280e+00,8.407928e-08
81,9.876882e-01,9.876884e-01,1.810429e-07,1.564346e-01,1.564345e-01,-8.572946e-07,6.313744e+00,6.313751e+00,1.057330e-06
82,9.902681e-01,9.902681e-01,-6.019041e-08,1.391734e-01,1.391731e-01,-1.820177e-06,7.115357e+00,7.115370e+00,1.809407e-06
83,9.925461e-01,9.925461e-01,0.000000e+00,1.218692e-01,1.218693e-01,7.336298e-07,8.144354e+00,8.144348e+00,-7.025787e-07
84,9.945219e-01,9.945219e-01,5.993296e-08,1.045284e-01,1.045284e-01,-1.425561e-07,9.514367e+00,9.514368e+00,1.002352e-07
85,9.961948e-01,9.961947e-01,-1.196646e-07,8.715582e-02,8.715580e-02,-1.709715e-07,1.143004e+01,1.143005e+01,8.343574e-08
86,9.975640e-01,9.975641e-01,1.195004e-07,6.975665e-02,6.975651e-02,-2.029359e-06,1.430063e+01,1.430066e+01,2.067311e-06
87,9.986295e-01,9.986295e-01,0.000000e+00,5.233575e-02,5.233597e-02,4.199638e-06,1.908121e+01,1.908113e+01,-4.098357e-06
88,9.993908e-01,9.993908e-01,0.000000e+00,3.489939e-02,3.489950e-02,2.882071e-06,2.863634e+01,2.863626e+01,-2.864061e-06
89,9.998478e-01,9.998477e-01,-1.192274e-07,1.745240e-02,1.745238e-02,-1.174000e-06,5.728998e+01,5.729004e+01,1.065371e-06
90,9.999999e-01,1.000000e+00,5.960464e-08,9.608147e-08,-4.371139e-08,3.198088e+00,1.040783e+07,-2.287733e+07,1.454941e+00
91,9.998478e-01,9.998477e-01,-1.192274e-07,-1.745217e-02,-1.745235e-02,1.056602e-05,-5.729075e+01,-5.729014e+01,-1.065369e-05
92,9.993908e-01,9.993908e-01,0.000000e+00,-3.489915e-02,-3.489946e-02,8.859709e-06,-2.863654e+01,-2.863628e+01,-8.858600e-06
93,9.986295e-01,9.986295e-01,0.000000e+00,-5.233599e-02,-5.233594e-02,-9.253445e-07,-1.908113e+01,-1.908114e+01,8.996389e-07
94,9.975640e-01,9.975641e-01,1.195004e-07,-6.975641e-02,-6.975648e-02,9.612760e-07,-1.430068e+01,-1.430066e+01,-9.336238e-07
95,9.961948e-01,9.961947e-01,-1.196646e-07,-8.715559e-02,-8.715577e-02,2.051659e-06,-1.143007e+01,-1.143005e+01,-2.252764e-06
96,9.945217e-01,9.945219e-01,1.797989e-07,-1.045287e-01,-1.045285e-01,-1.568115e-06,-9.514344e+00,-9.514360e+00,1.703999e-06
97,9.925461e-01,9.925461e-01,0.000000e+00,-1.218695e-01,-1.218693e-01,-1.467260e-06,-8.144338e+00,-8.144350e+00,1.522254e-06
98,9.902681e-01,9.902681e-01,-6.019041e-08,-1.391731e-01,-1.391731e-01,-3.212078e-07,-7.115369e+00,-7.115371e+00,3.350754e-07
99,9.876883e-01,9.876884e-01,6.034762e-08,-1.564344e-01,-1.564344e-01,1.905100e-07,-6.313753e+00,-6.313752e+00,-1.510472e-07
100,9.848078e-01,9.848077e-01,-1.210483e-07,-1.736480e-01,-1.736482e-01,8.581236e-07,-5.671287e+00,-5.671281e+00,-9.248719e-07
101,9.816272e-01,9.816272e-01,0.000000e+00,-1.908087e-01,-1.908090e-01,1.718082e-06,-5.144562e+00,-5.144553e+00,-1.668380e-06
102,9.781476e-01,9.781476e-01,0.000000e+00,-2.079118e-01,-2.079117e-01,-7.167061e-08,-4.704628e+00,-4.704629e+00,1.013549e-07
103,9.743701e-01,9.743701e-01,0.000000e+00,-2.249511e-01,-2.249510e-01,-3.312090e-07,-4.331475e+00,-4.331477e+00,3.302595e-07
104,9.702958e-01,9.702957e-01,-6.142936e-08,-2.419218e-01,-2.419219e-01,4.311645e-07,-4.010783e+00,-4.010781e+00,-4.755554e-07
105,9.659259e-01,9.659258e-01,-6.170727e-08,-2.588189e-01,-2.588190e-01,6.908840e-07,-3.732054e+00,-3.732051e+00,-7.027247e-07
106,9.612616e-01,9.612617e-01,6.200668e-08,-2.756375e-01,-2.756374e-01,-6.487290e-07,-3.487412e+00,-3.487414e+00,6.836543e-07
107,9.563048e-01,9.563047e-01,-1.246562e-07,-2.923718e-01,-2.923717e-01,-2.038660e-07,-3.270852e+00,-3.270852e+00,1.457838e-07
108,9.510565e-01,9.510565e-01,0.000000e+00,-3.090169e-01,-3.090170e-01,3.857693e-07,-3.077684e+00,-3.077683e+00,-3.873345e-07
109,9.455187e-01,9.455186e-01,-6.303910e-08,-3.255681e-01,-3.255681e-01,1.830789e-07,-2.904212e+00,-2.904211e+00,-2.462823e-07
110,9.396927e-01,9.396926e-01,-1.268599e-07,-3.420199e-01,-3.420201e-01,6.099532e-07,-2.747480e+00,-2.747478e+00,-7.809954e-07
111,9.335805e-01,9.335805e-01,-6.384521e-08,-3.583676e-01,-3.583679e-01,9.147736e-07,-2.605092e+00,-2.605089e+00,-1.006723e-06
112,9.271839e-01,9.271839e-01,0.000000e+00,-3.746067e-01,-3.746066e-01,-1.591126e-07,-2.475086e+00,-2.475087e+00,9.632737e-08
113,9.205049e-01,9.205049e-01,-6.475212e-08,-3.907311e-01,-3.907312e-01,1.525464e-07,-2.355853e+00,-2.355852e+00,-3.036081e-07
114,9.135455e-01,9.135454e-01,-1.304908e-07,-4.067365e-01,-4.067367e-01,4.396307e-07,-2.246038e+00,-2.246037e+00,-5.307540e-07
115,9.063077e-01,9.063078e-01,6.576645e-08,-4.226184e-01,-4.226183e-01,-1.410366e-07,-2.144506e+00,-2.144506e+00,2.223529e-07
116,8.987939e-01,8.987941e-01,1.326325e-07,-4.383713e-01,-4.383711e-01,-3.399211e-07,-2.050303e+00,-2.050304e+00,4.651380e-07
117,8.910065e-01,8.910065e-01,0.000000e+00,-4.539905e-01,-4.539906e-01,3.282262e-07,-1.962611e+00,-1.962610e+00,-3.644411e-07
118,8.829475e-01,8.829476e-01,6.750644e-08,-4.694716e-01,-4.694716e-01,-0.000000e+00,-1.880726e+00,-1.880726e+00,6.338471e-08
119,8.746198e-01,8.746197e-01,-6.814921e-08,-4.848095e-01,-4.848095e-01,6.147223e-08,-1.804048e+00,-1.804048e+00,-1.321576e-07
120,8.660256e-01,8.660254e-01,-2.753021e-07,-4.999998e-01,-5.000001e-01,4.768371e-07,-1.732052e+00,-1.732051e+00,-7.570808e-07
121,8.571676e-01,8.571673e-01,-3.476838e-07,-5.150377e-01,-5.150380e-01,5.786432e-07,-1.664281e+00,-1.664280e+00,-9.311661e-07
122,8.480482e-01,8.480480e-01,-2.108535e-07,-5.299193e-01,-5.299193e-01,1.124787e-07,-1.600335e+00,-1.600334e+00,-3.724512e-07
123,8.386707e-01,8.386706e-01,-2.132112e-07,-5.446391e-01,-5.446391e-01,-0.000000e+00,-1.539865e+00,-1.539865e+00,-2.322463e-07
124,8.290378e-01,8.290376e-01,-2.875848e-07,-5.591928e-01,-5.591928e-01,-0.000000e+00,-1.482562e+00,-1.482561e+00,-2.412230e-07
125,8.191520e-01,8.191520e-01,0.000000e+00,-5.735765e-01,-5.735765e-01,-1.039175e-07,-1.428148e+00,-1.428148e+00,8.347125e-08
126,8.090168e-01,8.090170e-01,2.210262e-07,-5.877854e-01,-5.877852e-01,-3.042165e-07,-1.376381e+00,-1.376382e+00,5.196636e-07
127,7.986355e-01,7.986355e-01,0.000000e+00,-6.018150e-01,-6.018151e-01,1.980829e-07,-1.327045e+00,-1.327045e+00,-1.796613e-07
128,7.880108e-01,7.880108e-01,-7.563938e-08,-6.156615e-01,-6.156614e-01,-9.681400e-08,-1.279942e+00,-1.279942e+00,-0.000000e+00
129,7.771462e-01,7.771460e-01,-2.300905e-07,-6.293201e-01,-6.293203e-01,2.841382e-07,-1.234898e+00,-1.234897e+00,-4.826688e-07
130,7.660447e-01,7.660444e-01,-3.890417e-07,-6.427873e-01,-6.427876e-01,5.563702e-07,-1.191755e+00,-1.191754e+00,-1.000285e-06
131,7.547100e-01,7.547096e-01,-4.738616e-07,-6.560585e-01,-6.560590e-01,6.359680e-07,-1.150370e+00,-1.150369e+00,-1.139897e-06
132,7.431448e-01,7.431448e-01,0.000000e+00,-6.691307e-01,-6.691307e-01,-8.907773e-08,-1.110612e+00,-1.110612e+00,1.073365e-07
133,7.313539e-01,7.313537e-01,-3.259963e-07,-6.819983e-01,-6.819983e-01,-0.000000e+00,-1.072369e+00,-1.072369e+00,-3.334934e-07
134,7.193398e-01,7.193397e-01,-1.657204e-07,-6.946586e-01,-6.946585e-01,-2.574127e-07,-1.035530e+00,-1.035530e+00,1.151191e-07
135,7.071066e-01,7.071068e-01,2.528811e-07,-7.071069e-01,-7.071068e-01,-1.685874e-07,-9.999996e-01,-1.000000e+00,4.172325e-07
136,6.946585e-01,6.946585e-01,0.000000e+00,-7.193400e-01,-7.193397e-01,-3.314409e-07,-9.656886e-01,-9.656889e-01,3.086120e-07
137,6.819984e-01,6.819983e-01,-1.747941e-07,-7.313538e-01,-7.313538e-01,-0.000000e+00,-9.325151e-01,-9.325150e-01,-6.391816e-08
138,6.691307e-01,6.691306e-01,-1.781555e-07,-7.431448e-01,-7.431448e-01,-0.000000e+00,-9.004043e-01,-9.004042e-01,-1.323953e-07
139,6.560591e-01,6.560590e-01,-2.725577e-07,-7.547095e-01,-7.547097e-01,1.579538e-07,-8.692870e-01,-8.692866e-01,-4.114039e-07
140,6.427877e-01,6.427876e-01,-9.272836e-08,-7.660444e-01,-7.660444e-01,-0.000000e+00,-8.390998e-01,-8.390996e-01,-1.420681e-07
141,6.293207e-01,6.293205e-01,-3.788508e-07,-7.771458e-01,-7.771459e-01,7.669686e-08,-8.097847e-01,-8.097842e-01,-5.152391e-07
142,6.156615e-01,6.156614e-01,-9.681400e-08,-7.880108e-01,-7.880108e-01,-7.563938e-08,-7.812856e-01,-7.812856e-01,-0.000000e+00
143,6.018151e-01,6.018151e-01,0.000000e+00,-7.986355e-01,-7.986355e-01,-0.000000e+00,-7.535542e-01,-7.535542e-01,-0.000000e+00
144,5.877850e-01,5.877852e-01,3.042165e-07,-8.090171e-01,-8.090171e-01,-7.367539e-08,-7.265421e-01,-7.265424e-01,4.101938e-07
145,5.735762e-01,5.735765e-01,4.156701e-07,-8.191522e-01,-8.191521e-01,-1.455277e-07,-7.002072e-01,-7.002076e-01,5.958697e-07
146,5.591929e-01,5.591928e-01,-1.065905e-07,-8.290378e-01,-8.290376e-01,-2.875848e-07,-6.745083e-01,-6.745083e-01,8.836754e-08
147,5.446392e-01,5.446391e-01,-2.188776e-07,-8.386706e-01,-8.386706e-01,-0.000000e+00,-6.494077e-01,-6.494076e-01,-2.753493e-07
148,5.299194e-01,5.299193e-01,-2.249574e-07,-8.480481e-01,-8.480480e-01,-7.028452e-08,-6.248696e-01,-6.248695e-01,-1.907747e-07
149,5.150383e-01,5.150380e-01,-4.629145e-07,-8.571674e-01,-8.571673e-01,-1.390735e-07,-6.008607e-01,-6.008605e-01,-2.975964e-07
150,5.000004e-01,5.000001e-01,-5.960464e-07,-8.660253e-01,-8.660254e-01,6.882552e-08,-5.773507e-01,-5.773503e-01,-7.226679e-07
151,4.848096e-01,4.848095e-01,-6.147223e-08,-8.746198e-01,-8.746198e-01,-0.000000e+00,-5.543090e-01,-5.543090e-01,-0.000000e+00
152,4.694717e-01,4.694716e-01,-1.904417e-07,-8.829475e-01,-8.829476e-01,6.750644e-08,-5.317096e-01,-5.317094e-01,-3.363001e-07
153,4.539906e-01,4.539906e-01,-6.564524e-08,-8.910063e-01,-8.910065e-01,2.006876e-07,-5.095257e-01,-5.095256e-01,-2.339613e-07
154,4.383709e-01,4.383711e-01,4.758896e-07,-8.987941e-01,-8.987941e-01,-6.631624e-08,-4.877323e-01,-4.877325e-01,4.888306e-07
155,4.226181e-01,4.226183e-01,4.936280e-07,-9.063079e-01,-9.063078e-01,-1.315329e-07,-4.663075e-01,-4.663077e-01,5.752015e-07
156,4.067367e-01,4.067366e-01,-2.198154e-07,-9.135455e-01,-9.135455e-01,-6.524540e-08,-4.452287e-01,-4.452286e-01,-1.338742e-07
157,3.907312e-01,3.907312e-01,-7.627322e-08,-9.205048e-01,-9.205049e-01,6.475212e-08,-4.244749e-01,-4.244748e-01,-1.404197e-07
158,3.746068e-01,3.746065e-01,-7.955634e-07,-9.271839e-01,-9.271839e-01,6.428568e-08,-4.040264e-01,-4.040261e-01,-8.113970e-07
159,3.583683e-01,3.583679e-01,-9.979349e-07,-9.335802e-01,-9.335805e-01,2.553809e-07,-3.838645e-01,-3.838640e-01,-1.164566e-06
160,3.420204e-01,3.420202e-01,-6.099530e-07,-9.396925e-01,-9.396926e-01,1.268599e-07,-3.639706e-01,-3.639703e-01,-6.550495e-07
161,3.255682e-01,3.255681e-01,-2.746183e-07,-9.455187e-01,-9.455186e-01,-6.303910e-08,-3.443276e-01,-3.443275e-01,-2.596567e-07
162,3.090171e-01,3.090170e-01,-9.644233e-08,-9.510565e-01,-9.510565e-01,-0.000000e+00,-3.249198e-01,-3.249197e-01,-1.834442e-07
163,2.923715e-01,2.923716e-01,4.077321e-07,-9.563048e-01,-9.563048e-01,-6.232808e-08,-3.057304e-01,-3.057306e-01,4.873952e-07
164,2.756372e-01,2.756374e-01,6.487290e-07,-9.612617e-01,-9.612617e-01,-6.200668e-08,-2.867452e-01,-2.867454e-01,7.275313e-07
165,2.588190e-01,2.588191e-01,5.757365e-07,-9.659259e-01,-9.659258e-01,-6.170727e-08,-2.679491e-01,-2.679493e-01,7.785661e-07
166,2.419219e-01,2.419219e-01,-6.159494e-08,-9.702958e-01,-9.702957e-01,-6.142936e-08,-2.493280e-01,-2.493280e-01,-0.000000e+00
167,2.249512e-01,2.249511e-01,-3.312089e-07,-9.743701e-01,-9.743701e-01,-0.000000e+00,-2.308683e-01,-2.308683e-01,-3.872640e-07
168,2.079119e-01,2.079116e-01,-1.290072e-06,-9.781476e-01,-9.781476e-01,6.093625e-08,-2.125568e-01,-2.125565e-01,-1.331985e-06
169,1.908093e-01,1.908090e-01,-1.405704e-06,-9.816270e-01,-9.816272e-01,1.214405e-07,-1.943806e-01,-1.943803e-01,-1.533196e-06
170,1.736486e-01,1.736483e-01,-1.887871e-06,-9.848078e-01,-9.848077e-01,-1.210483e-07,-1.763274e-01,-1.763271e-01,-1.859190e-06
171,1.564345e-01,1.564344e-01,-4.762749e-07,-9.876883e-01,-9.876884e-01,6.034762e-08,-1.583845e-01,-1.583844e-01,-5.644935e-07
172,1.391733e-01,1.391732e-01,-5.353460e-07,-9.902681e-01,-9.902681e-01,-6.019041e-08,-1.405410e-01,-1.405409e-01,-5.301361e-07
173,1.218691e-01,1.218693e-01,1.406124e-06,-9.925461e-01,-9.925461e-01,-0.000000e+00,-1.227843e-01,-1.227845e-01,1.395643e-06
174,1.045283e-01,1.045285e-01,1.639394e-06,-9.945219e-01,-9.945219e-01,5.993296e-08,-1.051041e-01,-1.051043e-01,1.630413e-06
175,8.715569e-02,8.715564e-02,-5.984015e-07,-9.961948e-01,-9.961947e-01,-1.196646e-07,-8.748860e-02,-8.748855e-02,-5.109638e-07
176,6.975653e-02,6.975647e-02,-8.544676e-07,-9.975640e-01,-9.975641e-01,1.195004e-07,-6.992687e-02,-6.992681e-02,-9.589345e-07
