Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error
70,9.3969262019E-01,9.3969262079E-01,6.3628309904E-10,3.4202014096E-01,3.4202014333E-01,6.9143771256E-09,2.7474774420E+00,2.7474774195E+00,-8.2153602778E-09
71,9.4551857561E-01,9.4551857560E-01,-9.9559435594E-12,3.2556815445E-01,3.2556815446E-01,8.9857544977E-12,2.9042108804E+00,2.9042108777E+00,-9.3757936520E-10
72,9.5105651394E-01,9.5105651630E-01,2.4812679232E-09,3.0901699699E-01,3.0901699437E-01,-8.4774209125E-09,3.0776835084E+00,3.0776835372E+00,9.3508977971E-09
73,9.5630475506E-01,9.5630475596E-01,9.4234668970E-10,2.9237170145E-01,2.9237170472E-01,1.1196640754E-08,3.2708526552E+00,3.2708526185E+00,-1.1216710665E-08
74,9.6126169711E-01,9.6126169594E-01,-1.2225547838E-09,2.7563735470E-01,2.7563735582E-01,4.0460472140E-09,3.4874144644E+00,3.4874144438E+00,-5.8821819914E-09
75,9.6592582762E-01,9.6592582629E-01,-1.3803806734E-09,2.5881904550E-01,2.5881904510E-01,-1.5317513841E-09,3.7320508063E+00,3.7320508076E+00,3.4429510671E-10
76,9.7029572725E-01,9.7029572628E-01,-1.0068721820E-09,2.4192189891E-01,2.4192189560E-01,-1.3678981950E-08,4.0107808709E+00,4.0107809335E+00,1.5613264233E-08
77,9.7437006608E-01,9.7437006479E-01,-1.3252478779E-09,2.2495105211E-01,2.2495105434E-01,9.9441544338E-09,4.3314759135E+00,4.3314758743E+00,-9.0593764981E-09
78,9.7814759985E-01,9.7814760073E-01,9.0751228321E-10,2.0791169070E-01,2.0791169082E-01,5.8046531424E-10,4.7046301067E+00,4.7046301095E+00,5.9322528071E-10
79,9.8162718490E-01,9.8162718345E-01,-1.4771364320E-09,1.9080899749E-01,1.9080899538E-01,-1.1073728725E-08,5.1445539594E+00,5.1445540160E+00,1.1002051432E-08
80,9.8480775207E-01,9.8480775301E-01,9.5388863060E-10,1.7364818137E-01,1.7364817767E-01,-2.1333137166E-08,5.6712816954E+00,5.6712818196E+00,2.1908944944E-08
81,9.8768834025E-01,9.8768834060E-01,3.5280392059E-10,1.5643446334E-01,1.5643446504E-01,1.0887416233E-08,6.3137515783E+00,6.3137515147E+00,-1.0082112458E-08
82,9.9026807025E-01,9.9026806874E-01,-1.5240108773E-09,1.3917310163E-01,1.3917310096E-01,-4.8408884741E-09,7.1153697073E+00,7.1153697224E+00,2.1134858398E-09
83,9.9254615232E-01,9.9254615164E-01,-6.8728530712E-10,1.2186934613E-01,1.2186934341E-01,-2.2333479939E-08,8.1443462372E+00,8.1443464280E+00,2.3426309041E-08
84,9.9452189729E-01,9.9452189537E-01,-1.9284676906E-09,1.0452846065E-01,1.0452846327E-01,2.5026841964E-08,9.5143647194E+00,9.5143644542E+00,-2.7870309566E-08
85,9.9619469792E-01,9.9619469809E-01,1.7590719489E-10,8.7155742105E-02,8.7155742748E-02,7.3725670163E-09,1.1430052400E+01,1.1430052303E+01,-8.4753738592E-09
86,9.9756405130E-01,9.9756405026E-01,-1.0430037147E-09,6.9756474346E-02,6.9756473744E-02,-8.6271134448E-09,1.4300666153E+01,1.4300666257E+01,7.2221080494E-09
87,9.9862953648E-01,9.9862953475E-01,-1.7275051516E-09,5.2335958928E-02,5.2335956243E-02,-5.1301744035E-08,1.9081135750E+01,1.9081136688E+01,4.9153846715E-08
88,9.9939082563E-01,9.9939082702E-01,1.3907085943E-09,3.4899494145E-02,3.4899496703E-02,7.3280011931E-08,2.8636255264E+01,2.8636253283E+01,-6.9190850252E-08
89,9.9984769523E-01,9.9984769516E-01,-7.5057873238E-11,1.7452405533E-02,1.7452406437E-02,5.1824449904E-08,5.7289964676E+01,5.7289961631E+01,-5.3153176573E-08
90,1.0000000000E+00,1.0000000000E+00,-1.8746997283E-33,1.2773586633E-09,6.1232339957E-17,-2.0860849070E+07,7.8286540800E+08,1.6331239353E+16,9.9999995206E-01
91,9.9984769523E-01,9.9984769516E-01,-7.5057874976E-11,-1.7452405533E-02,-1.7452406437E-02,5.1824455609E-08,-5.7289964676E+01,-5.7289961631E+01,-5.3153182280E-08
92,9.9939082563E-01,9.9939082702E-01,1.3907086064E-09,-3.4899501596E-02,-3.4899496703E-02,-1.4020676138E-07,-2.8636249304E+01,-2.8636253283E+01,1.3895316571E-07
93,9.9862953648E-01,9.9862953475E-01,-1.7275051335E-09,-5.2335958928E-02,-5.2335956243E-02,-5.1301750609E-08,-1.9081135750E+01,-1.9081136688E+01,4.9153853307E-08
94,9.9756405130E-01,9.9756405026E-01,-1.0430037061E-09,-6.9756474346E-02,-6.9756473744E-02,-8.6271151962E-09,-1.4300666153E+01,-1.4300666257E+01,7.2221098093E-09
95,9.9619469792E-01,9.9619469809E-01,1.7590718618E-10,-8.7155742105E-02,-8.7155742748E-02,7.3725681545E-09,-1.1430052400E+01,-1.1430052303E+01,-8.4753750061E-09
96,9.9452189356E-01,9.9452189537E-01,1.8173425611E-09,-1.0452846810E-01,-1.0452846327E-01,-4.6251166779E-08,-9.5143640041E+00,-9.5143644542E+00,4.7306098900E-08
97,9.9254615232E-01,9.9254615164E-01,-6.8728529209E-10,-1.2186934613E-01,-1.2186934341E-01,-2.2333480937E-08,-8.1443462372E+00,-8.1443464280E+00,2.3426310053E-08
98,9.9026807025E-01,9.9026806874E-01,-1.5240108288E-09,-1.3917310163E-01,-1.3917310096E-01,-4.8408909254E-09,-7.1153697073E+00,-7.1153697224E+00,2.1134883396E-09
99,9.8768834025E-01,9.8768834060E-01,3.5280390482E-10,-1.5643447079E-01,-1.5643446504E-01,-3.6740071077E-08,-6.3137512803E+00,-6.3137515147E+00,3.7120128415E-08
100,9.8480775207E-01,9.8480775301E-01,9.5388865219E-10,-1.7364818137E-01,-1.7364817767E-01,-2.1333137861E-08,-5.6712816954E+00,-5.6712818196E+00,2.1908945660E-08
101,9.8162718490E-01,9.8162718345E-01,-1.4771364082E-09,-1.9080899749E-01,-1.9080899538E-01,-1.1073729355E-08,-5.1445539594E+00,-5.1445540160E+00,1.1002052086E-08
102,9.7814759985E-01,9.7814760073E-01,9.0751235644E-10,-2.0791169070E-01,-2.0791169082E-01,5.8046369345E-10,-4.7046301067E+00,-4.7046301095E+00,5.9322697473E-10
103,9.7437006235E-01,9.7437006479E-01,2.4980328865E-09,-2.2495105956E-01,-2.2495105434E-01,-2.3176742634E-08,-4.3314757645E+00,-4.3314758743E+00,2.5342665366E-08
104,9.7029572725E-01,9.7029572628E-01,-1.0068721515E-09,-2.4192189891E-01,-2.4192189560E-01,-1.3678982441E-08,-4.0107808709E+00,-4.0107809335E+00,1.5613264755E-08
105,9.6592582762E-01,9.6592582629E-01,-1.3803807001E-09,-2.5881904550E-01,-2.5881904510E-01,-1.5317510125E-09,-3.7320508063E+00,-3.7320508076E+00,3.4429470839E-10
106,9.6126169711E-01,9.6126169594E-01,-1.2225547487E-09,-2.7563735470E-01,-2.7563735582E-01,4.0460467869E-09,-3.4874144644E+00,-3.4874144438E+00,-5.8821815292E-09
