Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error
287,-9.5630475506E-01,-9.5630475596E-01,9.4234669670E-10,2.9237170145E-01,2.9237170472E-01,1.1196640679E-08,-3.2708526552E+00,-3.2708526185E+00,-1.1216710583E-08
288,-9.5105651394E-01,-9.5105651630E-01,2.4812680028E-09,3.0901699699E-01,3.0901699437E-01,-8.4774216664E-09,-3.0776835084E+00,-3.0776835372E+00,9.3508986305E-09
289,-9.4551857561E-01,-9.4551857560E-01,-9.9557827674E-12,3.2556815445E-01,3.2556815446E-01,8.9843983068E-12,-2.9042108804E+00,-2.9042108777E+00,-9.3757784822E-10
290,-9.3969262019E-01,-9.3969262079E-01,6.3628334982E-10,3.4202014096E-01,3.4202014333E-01,6.9143752325E-09,-2.7474774420E+00,-2.7474774195E+00,-8.2153581339E-09
291,-9.3358042836E-01,-9.3358042650E-01,-1.9973540738E-09,3.5836794600E-01,3.5836794955E-01,9.8959531708E-09,-2.6050890982E+00,-2.6050890647E+00,-1.2867619735E-08
292,-9.2718385532E-01,-9.2718385457E-01,-8.1774089875E-10,3.7460659444E-01,3.7460659342E-01,-2.7426353496E-09,-2.4750868529E+00,-2.4750868534E+00,2.0531080618E-10
293,-9.2050485313E-01,-9.2050485345E-01,3.5095256780E-10,3.9073112793E-01,3.9073112849E-01,1.4245236888E-09,-2.3558523655E+00,-2.3558523658E+00,1.4006835776E-10
294,-9.1354545951E-01,-9.1354545764E-01,-2.0429143645E-09,4.0673664026E-01,4.0673664308E-01,6.9238340985E-09,-2.2460367978E+00,-2.2460367739E+00,-1.0622133933E-08
295,-9.0630778670E-01,-9.0630778704E-01,3.6802082559E-10,4.2261826433E-01,4.2261826174E-01,-6.1325179151E-09,-2.1445069015E+00,-2.1445069205E+00,8.8630855397E-09
296,-8.9879404753E-01,-8.9879404630E-01,-1.3743958367E-09,4.3837114796E-01,4.3837114679E-01,-2.6720440384E-09,-2.0503038317E+00,-2.0503038416E+00,4.8201567604E-09
297,-8.9100652561E-01,-8.9100652419E-01,-1.5909524615E-09,4.5399049856E-01,4.5399049974E-01,2.6032699065E-09,-1.9626105130E+00,-1.9626105055E+00,-3.8044871706E-09
298,-8.8294759393E-01,-8.8294759286E-01,-1.2101015979E-09,4.6947155893E-01,4.6947156279E-01,8.2164736768E-09,-1.8807264864E+00,-1.8807264653E+00,-1.1218079730E-08
299,-8.7461970747E-01,-8.7461970714E-01,-3.7247699888E-10,4.8480962217E-01,4.8480962025E-01,-3.9648644920E-09,-1.8040477484E+00,-1.8040477553E+00,3.7831381813E-09
300,-8.6602540314E-01,-8.6602540378E-01,7.4185260057E-10,5.0000000000E-01,5.0000000000E-01,1.5926497013E-16,-1.7320508063E+00,-1.7320508076E+00,7.4185244130E-10
301,-8.5716729984E-01,-8.5716730070E-01,1.0094159369E-09,5.1503807306E-01,5.1503807491E-01,3.5864482270E-09,-1.6642794833E+00,-1.6642794824E+00,-5.4570516026E-10
302,-8.4804809839E-01,-8.4804809616E-01,-2.6282800391E-09,5.2991925925E-01,5.2991926423E-01,9.4033959519E-09,-1.6003345475E+00,-1.6003345290E+00,-1.1509485936E-08
303,-8.3867057040E-01,-8.3867056795E-01,-2.9307254474E-09,5.4463903233E-01,5.4463903502E-01,4.9224113762E-09,-1.5398649722E+00,-1.5398649638E+00,-5.4674844079E-09
304,-8.2903757319E-01,-8.2903757256E-01,-7.6414056140E-10,5.5919290334E-01,5.5919290347E-01,2.3405773807E-10,-1.4825609699E+00,-1.4825609685E+00,-9.2840800882E-10
305,-8.1915204227E-01,-8.1915204429E-01,2.4650919002E-09,5.7357643917E-01,5.7357643635E-01,-4.9182344822E-09,-1.4281479940E+00,-1.4281480067E+00,8.9348416596E-09
306,-8.0901699513E-01,-8.0901699437E-01,-9.3573053557E-10,5.8778525144E-01,5.8778525229E-01,1.4526653248E-09,-1.3763819262E+00,-1.3763819205E+00,-4.1902342716E-09
307,-7.9863550887E-01,-7.9863551005E-01,1.4802435519E-09,6.0181502625E-01,6.0181502315E-01,-5.1534338010E-09,-1.3270448148E+00,-1.3270448216E+00,5.1206659072E-09
308,-7.8801075369E-01,-7.8801075361E-01,-1.0719988191E-10,6.1566147581E-01,6.1566147533E-01,-7.8252396150E-10,-1.2799416333E+00,-1.2799416322E+00,-8.9896174477E-10
309,-7.7714595944E-01,-7.7714596146E-01,2.5993538705E-09,6.2932039052E-01,6.2932039105E-01,8.3797937572E-10,-1.2348971516E+00,-1.2348971565E+00,4.0049145307E-09
310,-7.6604444534E-01,-7.6604444312E-01,-2.8939403364E-09,6.4278760925E-01,6.4278760969E-01,6.8014041489E-10,-1.1917535961E+00,-1.1917535926E+00,-2.9143762437E-09
311,-7.5470957905E-01,-7.5470958022E-01,1.5532216738E-09,6.5605903044E-01,6.5605902899E-01,-2.2146222094E-09,-1.1503683999E+00,-1.1503684072E+00,6.3483409790E-09
312,-7.4314482510E-01,-7.4314482548E-01,5.0662511474E-10,6.6913060471E-01,6.6913060636E-01,2.4579695254E-09,-1.1106125191E+00,-1.1106125148E+00,-3.8323116251E-09
313,-7.3135370016E-01,-7.3135370162E-01,1.9938242429E-09,6.8199836090E-01,6.8199836006E-01,-1.2310484372E-09,-1.0723687038E+00,-1.0723687100E+00,5.8208763014E-09
314,-7.1933980286E-01,-7.1933980034E-01,-3.5067737323E-09,6.9465836883E-01,6.9465837046E-01,2.3509169830E-09,-1.0355303213E+00,-1.0355303138E+00,-7.2517996561E-09
315,-7.0710678026E-01,-7.0710678119E-01,1.3092030585E-09,7.0710678026E-01,7.0710678119E-01,1.3092026299E-09,-1.0000000000E+00,-1.0000000000E+00,4.2862637970E-16
316,-6.9465837255E-01,-6.9465837046E-01,-3.0118476646E-09,7.1933979914E-01,7.1933980034E-01,1.6719879349E-09,-9.6568877995E-01,-9.6568877481E-01,-5.3258018505E-09
317,-6.8199836090E-01,-6.8199836006E-01,-1.2310479775E-09,7.3135370016E-01,7.3135370162E-01,1.9938238432E-09,-9.3251508847E-01,-9.3251508614E-01,-2.4998296571E-09
318,-6.6913060844E-01,-6.6913060636E-01,-3.1093889911E-09,7.4314482510E-01,7.4314482548E-01,5.0662472881E-10,-9.0040404722E-01,-9.0040404430E-01,-3.2464376143E-09
319,-6.5605903044E-01,-6.5605902899E-01,-2.2146217163E-09,7.5470957905E-01,7.5470958022E-01,1.5532213012E-09,-8.6928674206E-01,-8.6928673782E-01,-4.8834861007E-09
320,-6.4278760925E-01,-6.4278760969E-01,6.8014092571E-10,7.6604444534E-01,7.6604444312E-01,-2.8939406961E-09,-8.3909962699E-01,-8.3909963118E-01,4.9923845324E-09
321,-6.2932039052E-01,-6.2932039105E-01,8.3797990503E-10,7.7714595944E-01,7.7714596146E-01,2.5993535234E-09,-8.0978403613E-01,-8.0978403320E-01,-3.6240589322E-09
322,-6.1566147581E-01,-6.1566147533E-01,-7.8252341288E-10,7.8801075369E-01,7.8801075361E-01,-1.0720021679E-10,-7.8128562868E-01,-7.8128562651E-01,-2.7770841695E-09
323,-6.0181502625E-01,-6.0181502315E-01,-5.1534332322E-09,7.9863550887E-01,7.9863551005E-01,1.4802432289E-09,-7.5355405360E-01,-7.5355405010E-01,-4.6470569975E-09
324,-5.8778525144E-01,-5.8778525229E-01,1.4526659148E-09,8.0901699513E-01,8.0901699437E-01,-9.3573084698E-10,-7.2654252499E-01,-7.2654252801E-01,4.1455819300E-09
325,-5.7357643917E-01,-5.7357643635E-01,-4.9182338701E-09,8.1915204227E-01,8.1915204429E-01,2.4650916001E-09,-7.0020754263E-01,-7.0020753821E-01,-6.3100426748E-09
326,-5.5919290334E-01,-5.5919290347E-01,2.3405969031E-10,8.2903757319E-01,8.2903757256E-01,-7.6414144960E-10,-6.7450851575E-01,-6.7450851684E-01,1.6264081466E-09
327,-5.4463903606E-01,-5.4463903502E-01,-1.9175132335E-09,8.3867056668E-01,8.3867056795E-01,1.5111736813E-09,-6.4940759540E-01,-6.4940759320E-01,-3.3854414712E-09
328,-5.2991926298E-01,-5.2991926423E-01,2.3734775602E-09,8.4804809466E-01,8.4804809616E-01,1.7645010043E-09,-6.2486935034E-01,-6.2486935191E-01,2.5051417082E-09
329,-5.1503807679E-01,-5.1503807491E-01,-3.6465897026E-09,8.5716729984E-01,8.5716730070E-01,1.0094156794E-09,-6.0086062178E-01,-6.0086061903E-01,-4.5810894378E-09
330,-5.0000000000E-01,-5.0000000000E-01,9.0166763723E-16,8.6602540314E-01,8.6602540378E-01,7.4185235310E-10,-5.7735027000E-01,-5.7735026919E-01,-1.4089435007E-09
331,-4.8480962217E-01,-4.8480962025E-01,-3.9648637187E-09,8.7461970747E-01,8.7461970714E-01,-3.7247723648E-10,-5.5430905521E-01,-5.5430905145E-01,-6.7767090309E-09
332,-4.6947156265E-01,-4.6947156279E-01,2.8140323734E-10,8.8294759393E-01,8.8294759286E-01,-1.2101018258E-09,-5.3170943260E-01,-5.3170943166E-01,-1.7687290657E-09
333,-4.5399050042E-01,-4.5399049974E-01,-1.4995577263E-09,8.9100652561E-01,8.9100652419E-01,-1.5909526799E-09,-5.0952544808E-01,-5.0952544949E-01,2.7683632561E-09
334,-4.3837114796E-01,-4.3837114679E-01,-2.6720449806E-09,8.9879404753E-01,8.9879404630E-01,-1.3743956125E-09,-4.8773258924E-01,-4.8773258857E-01,-1.3921187476E-09
335,-4.2261826247E-01,-4.2261826174E-01,-1.7251230949E-09,9.0630778670E-01,9.0630778704E-01,3.6802062572E-10,-4.6630765870E-01,-4.6630765815E-01,-1.1733363705E-09
336,-4.0673664398E-01,-4.0673664308E-01,-2.2351408346E-09,9.1354545578E-01,9.1354545764E-01,2.0349237488E-09,-4.4522868656E-01,-4.4522868531E-01,-2.8023440823E-09
337,-3.9073112980E-01,-3.9073112849E-01,-3.3425496291E-09,9.2050485313E-01,9.2050485345E-01,3.5095200885E-10,-4.2447481863E-01,-4.2447481621E-01,-5.7068184221E-09
338,-3.7460659444E-01,-3.7460659342E-01,-2.7426342888E-09,9.2718385532E-01,9.2718385457E-01,-8.1774107193E-10,-4.0402622707E-01,-4.0402622584E-01,-3.0609995628E-09
339,-3.5836795159E-01,-3.5836794955E-01,-5.6967755468E-09,9.3358042464E-01,9.3358042650E-01,1.9929714738E-09,-3.8386403769E-01,-3.8386403504E-01,-6.9220614636E-09
340,-3.4202014282E-01,-3.4202014333E-01,1.4683663269E-09,9.3969262019E-01,9.3969262079E-01,6.3628319381E-10,-3.6397023313E-01,-3.6397023427E-01,3.1286277949E-09
341,-3.2556815445E-01,-3.2556815446E-01,8.9882225856E-12,9.4551857561E-01,9.4551857560E-01,-9.9562361796E-12,-3.4432761371E-01,-3.4432761329E-01,-1.2246791319E-09
342,-3.0901699513E-01,-3.0901699437E-01,-2.4497740263E-09,9.5105651766E-01,9.5105651630E-01,-1.4357341596E-09,-3.2491969690E-01,-3.2491969623E-01,-2.0446951034E-09
343,-2.9237170517E-01,-2.9237170472E-01,-1.5449847164E-09,9.5630475506E-01,9.5630475596E-01,9.4234683720E-10,-3.0573068187E-01,-3.0573068146E-01,-1.3336821052E-09
344,-2.7563735470E-01,-2.7563735582E-01,4.0460494034E-09,9.6126169711E-01,9.6126169594E-01,-1.2225549639E-09,-2.8674538434E-01,-2.8674538576E-01,4.9636046748E-09
345,-2.5881904550E-01,-2.5881904510E-01,-1.5317515272E-09,9.6592582762E-01,9.6592582629E-01,-1.3803806631E-09,-2.6794919185E-01,-2.6794919243E-01,2.1560751514E-09
346,-2.4192189891E-01,-2.4192189560E-01,-1.3678982103E-08,9.7029572725E-01,9.7029572628E-01,-1.0068721725E-09,-2.4932800606E-01,-2.4932800284E-01,-1.2897670848E-08
347,-2.2495105583E-01,-2.2495105434E-01,-6.6162920774E-09,9.7437006608E-01,9.7437006479E-01,-1.3252479715E-09,-2.3086819239E-01,-2.3086819113E-01,-5.4751759390E-09
348,-2.0791169070E-01,-2.0791169082E-01,5.8046722311E-10,9.7814759985E-01,9.7814760073E-01,9.0751219697E-10,-2.1255656146E-01,-2.1255656167E-01,1.0109878678E-09
349,-1.9080899749E-01,-1.9080899538E-01,-1.1073730065E-08,9.8162718490E-01,9.8162718345E-01,-1.4771363814E-09,-1.9438031130E-01,-1.9438030914E-01,-1.1100259165E-08
350,-1.7364817765E-01,-1.7364817767E-01,1.1995946553E-10,9.8480775207E-01,9.8480775301E-01,9.5388848075E-10,-1.7632698081E-01,-1.7632698071E-01,-6.0042880958E-10
351,-1.5643446706E-01,-1.5643446504E-01,-1.2926326577E-08,9.8768834025E-01,9.8768834060E-01,3.5280389150E-10,-1.5838444233E-01,-1.5838444032E-01,-1.2658252260E-08
352,-1.3917310163E-01,-1.3917310096E-01,-4.8408871670E-09,9.9026807025E-01,9.9026806874E-01,-1.5240109031E-09,-1.4054083545E-01,-1.4054083470E-01,-5.3024982657E-09
353,-1.2186934613E-01,-1.2186934341E-01,-2.2333474826E-08,9.9254615232E-01,9.9254615164E-01,-6.8728538421E-10,-1.2278456334E-01,-1.2278456090E-01,-1.9850553065E-08
354,-1.0452846438E-01,-1.0452846327E-01,-1.0612162190E-08,9.9452189356E-01,9.9452189537E-01,1.8173425523E-09,-1.0510423640E-01,-1.0510423527E-01,-1.0772314048E-08
355,-8.7155745830E-02,-8.7155742748E-02,-3.5370343525E-08,9.9619469792E-01,9.9619469809E-01,1.7590717882E-10,-8.7488666642E-02,-8.7488663526E-02,-3.5622136309E-08
356,-6.9756474346E-02,-6.9756473744E-02,-8.6271235194E-09,9.9756405130E-01,9.9756405026E-01,-1.0430036654E-09,-6.9926812313E-02,-6.9926811944E-02,-5.2910635064E-09
357,-5.2335958928E-02,-5.2335956243E-02,-5.1301736293E-08,9.9862953648E-01,9.9862953475E-01,-1.7275051728E-09,-5.2407782059E-02,-5.2407779283E-02,-5.2971546375E-08
358,-3.4899497870E-02,-3.4899496703E-02,-3.3463377248E-08,9.9939082563E-01,9.9939082702E-01,1.3907086034E-09,-3.4920770675E-02,-3.4920769492E-02,-3.3882310213E-08
359,-1.7452409258E-02,-1.7452406437E-02,-1.6162973707E-07,9.9984769523E-01,9.9984769516E-01,-7.5057891948E-11,-1.7455067718E-02,-1.7455064928E-02,-1.5984947874E-07
360,1.2809966421E-09,-2.4492935983E-16,5.2300666932E+06,1.0000000000E+00,1.0000000000E+00,-2.9995195653E-32,1.2809966421E-09,-2.4492935983E-16,5.2300666932E+06
